ID,Name,S610,SVLA,alpha,rms,Sp,e_Sp,Si,e_Si,RA,Dec
L0003,LH1.4GHzJ104849.8+571415,19386,10840,-0.7,,,,,,,
L0009,LH1.4GHzJ104858.3+570925,1709,1384,-0.25,102,462,112,642,121,162.242958361,57.157160902
L0012,LH1.4GHzJ104905.1+571151,26691,14612,-0.73,,,,,,,
L0016,LH1.4GHzJ104914.8+570508,1029,529,-0.8,,,,,,,
L0025,LH1.4GHzJ104922.9+571901,4994,2425,-0.87,76,939,121,2209,234,162.345288947,57.317164956
L0034,LH1.4GHzJ104934.3+570608,,14787,,74,323,81,295,80,162.393862805,57.103353297
L0049,LH1.4GHzJ104943.8+571737,1008,1013,0.01,52,541,75,666,84,162.432542797,57.29366112
L0051,LH1.4GHzJ104944.1+570628,1823,1275,-0.43,66,528,85,916,113,162.433765316,57.108035949
L0055,LH1.4GHzJ104947.8+571354,689,607,-0.15,54,423,69,490,73,162.4489331,57.231806689
L0061,LH1.4GHzJ104950.4+570120c,5266,,,,,,,,,
L0066,LH1.4GHzJ104951.3+572812,967,1083,0.14,75,713,104,922,119,162.463891893,57.470082634
L0077,LH1.4GHzJ104954.2+570456,1363,1376,0.01,66,541,86,633,91,162.475858493,57.082238326
L0081,LH1.4GHzJ104956.7+570647,596,335,-0.69,,,,,,,
L0082,LH1.4GHzJ104956.8+571042,2053,1046,-0.81,,,,,,,
L0087,LH1.4GHzJ104958.0+570727,1082,650,-0.61,,,,,,,
L0100,LH1.4GHzJ105002.0+571622,213,232,0.1,,,,,,,
L0117,LH1.4GHzJ105007.3+571652,452,257,-0.68,,,,,,,
L0119,LH1.4GHzJ105008.1+572018,3486,2035,-0.65,43,647,78,1195,127,162.533539506,57.338390632
L0130,LH1.4GHzJ105010.4+570724b,1876,5598,1.32,54,1291,141,2335,240,162.538743032,57.121401186
L0140,LH1.4GHzJ105012.6+571137,1280,616,-0.88,42,235,48,415,59,162.552329219,57.193600719
L0144,LH1.4GHzJ105014.4+572844,689,416,-0.61,,,,,,,
L0149,LH1.4GHzJ105015.6+570258,5060,3155,-0.57,64,687,94,983,117,162.564968684,57.048810568
L0160,LH1.4GHzJ105019.7+572812,662,266,-1.1,,,,,,,
L0165,LH1.4GHzJ105023.4+572439,485,253,-0.78,,,,,,,
L0171,LH1.4GHzJ105025.5+570453,266,250,-0.07,55,275,62,271,61,162.606338811,57.081508924
L0173,LH1.4GHzJ105026.3+570744,1270,793,-0.57,,,,,,,
L0181,LH1.4GHzJ105029.2+571427,2450,1286,-0.78,,,,,,,
L0183,LH1.4GHzJ105029.6+571036,417,203,-0.87,,,,,,,
L0189,LH1.4GHzJ105032.0+572027,5184,723,-2.37,,,,,,,
L0194,LH1.4GHzJ105032.7+572646,371,466,0.27,41,364,55,497,64,162.636123187,57.446286836
L0197,LH1.4GHzJ105033.1+571703,388,169,-1,,,,,,,
L0199,LH1.4GHzJ105034.0+572152,1830,1005,-0.72,36,214,42,220,42,162.641811126,57.364553024
L0201,LH1.4GHzJ105034.2+572922,712,336,-0.9,,,,,,,
