Name,redshift,Lbol,method,Mbh,reference,type,measurement
NGC 1068..............,0.004,44.98,I,7.23,1,SY2,spatiallyresolved
NGC 4258..............,0.001,43.45,I,7.62,2,SY2,spatiallyresolved
3C 120................,0.033,45.34,I,7.42,1,SY1,reverberation
3C 390.3.............,0.056,44.88,I,8.55,1,SY1,reverberation
Akn 120 .............,0.032,44.91,I,8.27,1,SY1,reverberation
F9 ......................,0.047,45.23,F,7.91,1,SY1,reverberation
IC 4329A ...........,0.016,44.78,I,6.77,1,SY1,reverberation
Mrk 79...............,0.022,44.57,I,7.86,1,SY1,reverberation
Mrk 110 .............,0.035,44.71,F,6.82,1,SY1,reverberation
Mrk 335 .............,0.026,44.69,I,6.69,1,SY1,reverberation
Mrk 509 .............,0.034,45.03,I,7.86,1,SY1,reverberation
Mrk 590 .............,0.026,44.63,I,7.2,1,SY1,reverberation
Mrk 817 .............,0.032,44.99,I,7.6,1,SY1,reverberation
NGC 3227..........,0.004,43.86,I,7.64,1,SY1,reverberation
NGC 3516..........,0.009,44.29,I,7.36,2,SY1,reverberation
NGC 3783..........,0.01,44.41,I,6.94,3,SY1,reverberation
NGC 4051..........,0.002,43.56,I,6.13,1,SY1,reverberation
NGC 4151..........,0.003,43.73,I,7.13,1,SY1,reverberation
NGC 4593..........,0.009,44.09,I,6.91,2,SY1,reverberation
NGC 5548..........,0.017,44.83,I,8.03,1,SY1,reverberation
NGC 7469..........,0.016,45.28,I,6.84,1,SY1,reverberation
PG 0026+129.....,0.142,45.39,I,7.58,1,RQQ,reverberation
PG 0052+251.....,0.155,45.93,F,8.41,1,RQQ,reverberation
PG 0804+761.....,0.1,45.93,F,8.24,1,RQQ,reverberation
PG 0844+349.....,0.064,45.36,F,7.38,1,RQQ,reverberation
PG 0953+414.....,0.239,46.16,F,8.24,1,RQQ,reverberation
PG 1211+143.....,0.085,45.81,F,7.49,1,RQQ,reverberation
PG 1229+204.....,0.064,45.01,I,8.56,1,RQQ,reverberation
PG 1307+085.....,0.155,45.83,F,7.9,1,RQQ,reverberation
PG 1351+640.....,0.087,45.5,I,8.48,1,RQQ,reverberation
PG 1411+442.....,0.089,45.58,F,7.57,1,RQQ,reverberation
PG 1426+015.....,0.086,45.19,I,7.92,1,RQQ,reverberation
PG 1613+658.....,0.129,45.66,I,8.62,1,RQQ,reverberation
PG 1617+175.....,0.114,45.52,F,7.88,1,RQQ,reverberation
PG 1700+518.....,0.292,46.56,F,8.31,1,RQQ,reverberation
PG 2130+099.....,0.061,45.47,I,7.74,1,RQQ,reverberation
PG 1226+023.....,0.158,47.35,I,7.22,1,RLQ,reverberation
PG 1704+608.....,0.371,46.33,I,8.23,1,RLQ,reverberation
Mrk 841 ........,0.036,45.84,I,8.1,1,SY1,opticalLum
NGC 4253.....,0.013,44.4,I,6.54,1,SY1,opticalLum
NGC 6814.....,0.005,43.92,I,7.28,1,SY1,opticalLum
0054+144......,0.171,45.47,F,8.9,2,RQQ,opticalLum
0157+001......,0.164,45.62,F,7.7,2,RQQ,opticalLum
0204+292......,0.109,45.05,F,6.67,2,RQQ,opticalLum
0205+024......,0.155,45.45,F,7.86,2,RQQ,opticalLum
0244+194......,0.176,45.51,F,8.03,2,RQQ,opticalLum
0923+201......,0.19,46.22,F,8.94,2,RQQ,opticalLum
1012+008......,0.185,45.51,F,7.79,2,RQQ,opticalLum
1029 140......,0.086,46.03,F,9.08,2,RQQ,opticalLum
1116+215......,0.177,46.02,F,8.21,2,RQQ,opticalLum
1202+281......,0.165,45.39,F,8.29,2,RQQ,opticalLum
1309+355......,0.184,45.63,F,8,2,RQQ,opticalLum
1402+261......,0.164,45.13,F,7.29,2,RQQ,opticalLum
1444+407......,0.267,45.93,F,8.06,2,RQQ,opticalLum
1635+119......,0.146,45.13,F,8.1,2,RQQ,opticalLum
0022 297......,0.406,44.98,F,7.91,3,RLQ,opticalLum
0024+348......,0.333,45.31,F,6.37,3,RLQ,opticalLum
0056 001......,0.717,46.54,F,8.71,3,RLQ,opticalLum
0110+495......,0.395,45.78,F,8.34,3,RLQ,opticalLum
0114+074......,0.343,44.02,F,6.8,4,RLQ,opticalLum
0119+041......,0.637,45.57,F,8.38,3,RLQ,opticalLum
0133+207......,0.425,45.83,F,9.52,3,RLQ,opticalLum
0133+476......,0.859,46.69,F,8.73,3,RLQ,opticalLum
0134+329......,0.367,46.44,F,8.74,3,RLQ,opticalLum
0135 247......,0.831,46.64,F,9.13,3,RLQ,opticalLum
0137+012......,0.258,45.22,F,8.57,2,RLQ,opticalLum
0153 410......,0.226,44.74,F,7.56,4,RLQ,opticalLum
0159 117......,0.669,46.84,F,9.27,3,RLQ,opticalLum
0210+860......,0.186,44.92,F,6.54,3,RLQ,opticalLum
0221+067......,0.51,44.94,F,7.29,4,RLQ,opticalLum
0237 233......,2.224,47.72,F,8.52,3,RLQ,opticalLum
0327 241......,0.888,46.01,F,8.6,4,RLQ,opticalLum
0336 019......,0.852,46.32,F,8.98,3,RLQ,opticalLum
0403 132......,0.571,46.47,F,9.07,3,RLQ,opticalLum
0405 123......,0.574,47.4,F,9.47,3,RLQ,opticalLum
0420 014......,0.915,47,F,9.03,3,RLQ,opticalLum
0437+785......,0.454,46.15,F,8.79,3,RLQ,opticalLum
0444+634......,0.781,46.12,F,8.53,3,RLQ,opticalLum
0454 810......,0.444,45.32,F,8.13,3,RLQ,opticalLum
0454+066......,0.405,45.12,F,7.42,4,RLQ,opticalLum
0502+049......,0.954,46.36,F,8.88,4,RLQ,opticalLum
0514 459......,0.194,45.36,F,7.55,3,RLQ,opticalLum
0518+165......,0.759,46.34,F,8.53,3,RLQ,opticalLum
0538+498......,0.545,46.43,F,9.58,3,RLQ,opticalLum
0602 319......,0.452,45.69,F,9.02,3,RLQ,opticalLum
0607 157......,0.324,46.3,F,8.68,3,RLQ,opticalLum
0637 752......,0.654,47.16,F,9.41,3,RLQ,opticalLum
0646+600......,0.455,45.58,F,8.74,3,RLQ,opticalLum
0723+679......,0.846,46.41,F,8.67,3,RLQ,opticalLum
0736+017......,0.191,45.97,F,8,2,RLQ,opticalLum
0738+313......,0.631,46.94,F,9.4,3,RLQ,opticalLum
0809+483......,0.871,46.54,F,7.96,3,RLQ,opticalLum
0838+133......,0.684,46.23,F,8.52,3,RLQ,opticalLum
0906+430......,0.668,45.99,F,7.9,3,RLQ,opticalLum
0912+029......,0.427,45.26,F,7.72,4,RLQ,opticalLum
0921 213......,0.052,44.63,F,8.14,4,RLQ,opticalLum
0923+392......,0.698,46.26,F,9.28,3,RLQ,opticalLum
0925 203......,0.348,46.35,F,8.46,4,RLQ,opticalLum
0953+254......,0.712,46.59,F,9,3,RLQ,opticalLum
0954+556......,0.901,46.54,F,8.07,3,RLQ,opticalLum
1004+130......,0.24,46.21,F,9.1,2,RLQ,opticalLum
1007+417......,0.612,46.71,F,8.79,3,RLQ,opticalLum
1016 311......,0.794,46.63,F,8.89,4,RLQ,opticalLum
1020 103......,0.197,44.87,F,8.36,2,RLQ,opticalLum
